sample_name,uploader,upload_date,overall_job_status,runtime_seconds,total_reads,passed_filters,passed_filters_percent,total_ercc_reads,subsampled_fraction,quality_control,compression_ratio,reads_after_star,reads_after_trimmomatic,reads_after_priceseq,reads_after_cdhitdup,reads_after_idseq_dedup,reads_after_czid_dedup,host_organism,notes,insert_size_median,insert_size_mode,insert_size_median_absolute_deviation,insert_size_min,insert_size_max,insert_size_mean,insert_size_standard_deviation,insert_size_read_pairs,sample_type,nucleotide_type,collection_date,water_control,collection_location,Project Source,Sample Species
SRR2396653,Lauren Mee,2022-10-18 03:30:35 -0700,COMPLETE,3867,955615,341575,35.744,0,1.0,55.226,1.44,674161,386286,372313,"","",259220,Bee,"","","","","","","","","",abdomen with fat bodies,RNA,10/2015,No,Israel,PRJNA295976,Bombus terrestris
SRR2396654,Lauren Mee,2022-10-18 03:30:45 -0700,COMPLETE,2680,340056,57990,17.053,0,1.0,30.268,1.33,209350,73019,63367,"","",47519,Bee,"","","","","","","","","",abdomen with fat bodies,RNA,10/2015,No,Israel,PRJNA295976,Bombus terrestris
SRR2396655,Lauren Mee,2022-10-18 03:30:53 -0700,COMPLETE,2234,502075,92958,18.515,0,1.0,44.595,1.54,230762,113013,102909,"","",66766,Bee,"","","","","","","","","",abdomen with fat bodies,RNA,10/2015,No,Israel,PRJNA295976,Bombus terrestris
SRR2396656,Lauren Mee,2022-10-18 03:31:02 -0700,COMPLETE,2792,632940,136175,21.515,0,1.0,30.883,1.41,499559,167503,154278,"","",109239,Bee,"","","","","","","","","",abdomen with fat bodies,RNA,10/2015,No,Israel,PRJNA295976,Bombus terrestris
SRR2396657,Lauren Mee,2022-10-18 03:31:11 -0700,COMPLETE,3254,479750,136536,28.46,0,1.0,43.687,1.32,350143,165453,152967,"","",115961,Bee,"","","","","","","","","",abdomen with fat bodies,RNA,10/2015,No,Israel,PRJNA295976,Bombus terrestris
SRR6148368,Lauren Mee,2022-10-18 03:31:20 -0700,COMPLETE,4186,1220458,593106,48.597,0,1.0,77.72,1.32,800306,740874,621996,"","",472680,Bee,"","","","","","","","","",pool of heads and abdomen,RNA,04/2015,No,Belgium,PRJNA411946,Bombus terrestris
SRR11445089,Lauren Mee,2022-10-18 09:28:39 -0700,COMPLETE,6877,7596554,1343568,17.687,6,0.867789,83.621,1.95,5700768,5683016,4767010,"","",2440262,Bee,"","","","","","","","","",whole body (pool of 3),RNA,01/2015,No,United Kingdom,PRJNA615177,Bombus terrestris
SRR11445090,Lauren Mee,2022-10-18 09:29:07 -0700,COMPLETE,6513,6621976,1052408,15.893,0,0.946244,83.991,1.94,5150882,5121090,4326254,"","",2235304,Bee,"","","","","","","","","",whole body (pool of 3),RNA,01/2015,No,United Kingdom,PRJNA615177,Bombus terrestris
SRR11445091,Lauren Mee,2022-10-18 09:29:30 -0700,COMPLETE,7541,7437522,990043,13.311,0,0.859651,84.719,2.12,6158490,6146680,5217392,"","",2460946,Bee,"","","","","","","","","",whole body (pool of 3),RNA,01/2015,No,United Kingdom,PRJNA615177,Bombus terrestris
SRR11448239,Lauren Mee,2022-10-18 09:29:59 -0700,COMPLETE,7299,7114380,954052,13.41,8,0.915132,82.896,2.11,5867102,5846084,4863562,"","",2310186,Bee,"","","","","","","","","",whole body (pool of 3),RNA,01/2015,No,United Kingdom,PRJNA615177,Bombus terrestris
SRR11448240,Lauren Mee,2022-10-18 09:30:25 -0700,COMPLETE,6932,8842990,936230,10.587,0,0.820535,83.901,2.38,7259486,7239868,6090766,"","",2561532,Bee,"","","","","","","","","",whole body (pool of 3),RNA,01/2015,No,United Kingdom,PRJNA615177,Bombus terrestris
SRR11448241,Lauren Mee,2022-10-18 09:30:54 -0700,COMPLETE,7144,7366838,1064142,14.445,0,0.912985,83.948,2.31,6341910,6325442,5323886,"","",2309372,Bee,"","","","","","","","","",whole body (pool of 3),RNA,01/2015,No,United Kingdom,PRJNA615177,Bombus terrestris
SRR12527933,Lauren Mee,2022-10-18 09:31:21 -0700,COMPLETE,11867,1471660,714566,48.555,44,1.0,68.13,1.18,1352732,1352332,921622,"","",778176,Bee,"","","","","","","","","",whole body,RNA,08/2016,No,China,PRJNA659133,Bombus turneri
SRR12527937,Lauren Mee,2022-10-18 09:31:35 -0700,COMPLETE,9379,10349434,2441996,23.595,0,1.0,36.689,1.78,9974142,5269668,3659432,"","",2058316,Bee,"","","","","","","","","",whole body,DNA,08/2016,No,China,PRJNA659135,Bombus waltoni
SRR12527938,Lauren Mee,2022-10-18 09:32:15 -0700,COMPLETE,9261,12236854,2981726,24.367,0,1.0,42.527,2.02,11921530,7874620,5069898,"","",2504946,Bee,"","","","","","","","","",whole body,DNA,08/2016,No,China,PRJNA659136,Bombus waltoni
SRR12527939,Lauren Mee,2022-10-18 09:33:03 -0700,COMPLETE,13198,16660914,4261440,25.577,0,0.777106,44.607,1.6,16234414,10539258,7241638,"","",4531770,Bee,"","","","","","","","","",whole body,DNA,08/2016,No,China,PRJNA659137,Bombus waltoni
SRR14567209,Lauren Mee,2022-10-18 09:34:03 -0700,COMPLETE,11225,17819084,14825685,83.201,0,0.191138,89.719,1.43,17388384,17367536,15600630,"","",10875788,Bee,"","","","","","","","","",abdomen,RNA,06/2021,No,Canada,PRJNA730495,Bombus terricola
SRR14567210,Lauren Mee,2022-10-18 09:34:51 -0700,COMPLETE,8868,11064092,8784716,79.398,2,0.264084,87.191,1.18,10769384,10747302,9389930,"","",7954726,Bee,"","","","","","","","","",abdomen,RNA,06/2021,No,Canada,PRJNA730495,Bombus terricola
SRR14567211,Lauren Mee,2022-10-18 09:35:23 -0700,COMPLETE,9822,7833378,5963696,76.132,0,0.606355,84.678,1.82,7558634,7536966,6400498,"","",3514620,Bee,"","","","","","","","","",abdomen,RNA,06/2021,No,Canada,PRJNA730495,Bombus terricola
SRR14567212,Lauren Mee,2022-10-18 09:35:54 -0700,COMPLETE,10928,17216998,13847272,80.428,0,0.192688,88.986,1.36,16626800,16596548,14795550,"","",10890902,Bee,"","","","","","","","","",abdomen,RNA,06/2021,No,Canada,PRJNA730495,Bombus terricola
SRR14567213,Lauren Mee,2022-10-18 09:36:38 -0700,COMPLETE,5878,3281370,1400848,42.691,0,1.0,66.649,1.34,2856680,2822136,1903958,"","",1418330,Bee,"","","","","","","","","",abdomen,RNA,06/2021,No,Canada,PRJNA730495,Bombus terricola
SRR14567214,Lauren Mee,2022-10-18 09:36:56 -0700,COMPLETE,10513,5659714,3685257,65.114,2,0.612566,82.761,1.18,5121780,5087580,4238836,"","",3596674,Bee,"","","","","","","","","",abdomen,RNA,06/2021,No,Canada,PRJNA730495,Bombus terricola
SRR14567217,Lauren Mee,2022-10-18 09:37:17 -0700,COMPLETE,10216,13241754,10172123,76.819,2,0.330754,85.298,1.69,12785072,12736700,10905412,"","",6446476,Bee,"","","","","","","","","",abdomen,RNA,06/2021,No,Canada,PRJNA730495,Bombus terricola
SRR14567218,Lauren Mee,2022-10-18 09:37:54 -0700,COMPLETE,10284,6346846,4462466,70.31,0,0.723242,83.808,1.63,6001696,5956984,5029902,"","",3080062,Bee,"","","","","","","","","",abdomen,RNA,06/2021,No,Canada,PRJNA730495,Bombus terricola
SRR14567219,Lauren Mee,2022-10-18 09:38:19 -0700,COMPLETE,4867,2171138,725434,33.413,0,1.0,69.086,1.37,1684944,1665516,1164066,"","",849604,Bee,"","","","","","","","","",abdomen,RNA,06/2021,No,Canada,PRJNA730495,Bombus terricola
SRR14567220,Lauren Mee,2022-10-18 09:38:33 -0700,COMPLETE,12421,18523750,14748763,79.621,0,0.153412,88.353,1.17,17985880,17966604,15891008,"","",13628174,Bee,"","","","","","","","","",abdomen,RNA,06/2021,No,Canada,PRJNA730495,Bombus terricola
SRR14567221,Lauren Mee,2022-10-18 09:39:20 -0700,COMPLETE,8175,8006750,5849884,73.062,0,0.576829,83.841,1.7,7600374,7571992,6372214,"","",3749328,Bee,"","","","","","","","","",abdomen,RNA,06/2021,No,Canada,PRJNA730495,Bombus terricola
SRR14567222,Lauren Mee,2022-10-18 09:39:46 -0700,COMPLETE,8009,6900698,4647910,67.354,0,0.474696,82.598,1.16,6342272,6307594,5238618,"","",4525958,Bee,"","","","","","","","","",abdomen,RNA,06/2021,No,Canada,PRJNA730495,Bombus terricola
SRR3383868,Lauren Mee,2022-10-18 09:40:42 -0700,COMPLETE,4555,816714,312762,38.295,2,1.0,88.627,1.37,577715,512009,512009,"","",374363,Bee,"","","","","","","","","",head and abdomen (pooled 5 queens),RNA,04/2015,No,Belgium,PRJNA318490,Bombus terrestris
SRR6148370,Lauren Mee,2022-10-18 09:40:53 -0700,COMPLETE,5373,1806064,898146,49.729,0,1.0,79.817,1.34,1183418,1135228,944566,"","",705562,Bee,"","","","","","","","","",pool of heads and abdomen,RNA,04/2015,No,Belgium,PRJNA411946,Bombus terrestris
SRR6148374,Lauren Mee,2022-10-18 09:41:06 -0700,COMPLETE,9440,4041730,3038671,75.182,0,0.767004,87.431,1.17,3602500,3564738,3149696,"","",2681980,Bee,"","","","","","","","","",pool of heads and abdomen,RNA,04/2015,No,Belgium,PRJNA411946,Bombus terrestris
SRR12527961,Lauren Mee,2022-10-19 01:29:11 -0700,COMPLETE,10276,2688114,549670,20.448,0,1.0,75.946,1.22,2491586,2491394,1892248,"","",1544880,Bee,"","","","","","","","","",whole body,RNA,08/2016,No,China,PRJNA659133,Bombus waltoni
SRR2915407,Lauren Mee,2022-10-19 01:29:31 -0700,COMPLETE,6128,2198920,1476892,67.164,0,1.0,87.148,1.2,1913228,1912472,1667342,"","",1390708,Bee,"","","","","","","","","",whole body,RNA,12/2014,No,Australia,PRJNA302035,Ceratina australensis
SRR2954866,Lauren Mee,2022-10-19 01:29:46 -0700,COMPLETE,5820,2152322,1454028,67.556,0,1.0,87.5,1.21,1873770,1873062,1639550,"","",1360294,Bee,"","","","","","","","","",whole body,RNA,12/2014,No,Australia,PRJNA302035,Ceratina australensis
SRR10765021,Lauren Mee,2022-10-20 03:07:03 -0700,COMPLETE,6604,4254222,1473182,34.629,0,1.0,65.923,1.23,3854542,3804210,2541026,"","",2061390,Bee,"","","","","","","","","",whole body,RNA,11/2017,No,China,PRJNA512939,Colletes gigas
SRR12053408,Lauren Mee,2022-10-20 03:07:26 -0700,COMPLETE,9793,34384738,25277645,73.514,2,0.151824,84.907,1.89,31493098,31426448,26739874,"","",14131326,Bee,"","","","","","","","","",abdomen,RNA,11/2016,No,Mexico,PRJNA636137,Euglossa viridissima
SRR12053415,Lauren Mee,2022-10-20 03:08:45 -0700,COMPLETE,6884,26692928,19484769,72.996,0,0.190363,84.32,1.84,24763718,24550244,20880876,"","",11357626,Bee,"","","","","","","","","",abdomen,RNA,03/2016,No,Mexico,PRJNA636137,Euglossa dilemma
SRR12053427,Lauren Mee,2022-10-20 03:09:51 -0700,COMPLETE,7758,26556896,19413685,73.102,0,0.195797,84.146,1.88,24594518,24327084,20695218,"","",10986202,Bee,"","","","","","","","","",abdomen,RNA,05/2016,No,Mexico,PRJNA636137,Euglossa dilemma
SRR12527941,Lauren Mee,2022-10-20 03:10:54 -0700,COMPLETE,13927,11591062,1880590,16.224,0,1.0,40.637,1.08,11099200,11096114,4510366,"","",4178544,Bee,"","","","","","","","","",whole body,DNA,01/2017,No,China,PRJNA659139,Bombus waltoni
SRR1945064,Lauren Mee,2022-10-20 03:12:25 -0700,COMPLETE,7025,11743746,7252173,61.753,0,0.288987,74.976,1.05,11090740,11087738,8315354,"","",7926210,Bee,"","","","","","","","","",whole body,DNA,07/2011,No,Mexico,PRJNA279814,Eufriesea mexicana
SRR1945065,Lauren Mee,2022-10-20 03:12:59 -0700,COMPLETE,5202,6538318,4584648,70.12,0,0.448264,84.783,1.04,6212404,6205542,5267046,"","",5088348,Bee,"","","","","","","","","",whole body,DNA,07/2011,No,Mexico,PRJNA279814,Eufriesea mexicana
SRR1945094,Lauren Mee,2022-10-20 03:13:45 -0700,COMPLETE,6505,8320026,4131104,49.653,0,0.531586,55.589,1.1,7889378,7887280,4385632,"","",3979606,Bee,"","","","","","","","","",whole body,DNA,07/2011,No,Canada,PRJNA279825,Dufourea Novaeangliae
SRR2001766,Lauren Mee,2022-10-20 03:48:52 -0700,COMPLETE,8260,13427688,5802542,43.213,0,0.609839,47.586,1.8,12862028,10219728,6120482,"","",3396320,Bee,"","","","","","","","","",whole body,RNA,07/2011,No,Canada,PRJNA279825,Dufourea Novaeangliae
SRR12053406,Lauren Mee,2022-10-20 05:07:59 -0700,COMPLETE,6230,18167620,14295583,78.687,0,0.253648,82.561,1.79,17892230,17803782,14771946,"","",8249200,Bee,"","","","","","","","","",abdomen,RNA,10/2016,No,Mexico,PRJNA636137,Euglossa viridissima
SRR12053407,Lauren Mee,2022-10-20 05:08:45 -0700,COMPLETE,6774,14783358,11274247,76.263,8,0.304138,80.894,1.7,14498614,14363372,11728438,"","",6893414,Bee,"","","","","","","","","",abdomen,RNA,11/2016,No,Mexico,PRJNA636137,Euglossa viridissima
SRR12053413,Lauren Mee,2022-10-20 05:09:24 -0700,COMPLETE,7221,16479514,12975715,78.738,0,0.29485,84.077,1.9,16156060,16036738,13583448,"","",7152918,Bee,"","","","","","","","","",abdomen,RNA,03/2016,No,Mexico,PRJNA636137,Euglossa dilemma
SRR12053416,Lauren Mee,2022-10-20 05:10:08 -0700,COMPLETE,6660,15194882,11440585,75.292,0,0.384511,80.256,2.17,14948408,14853562,11996966,"","",5515962,Bee,"","","","","","","","","",abdomen,RNA,03/2016,No,Mexico,PRJNA636137,Euglossa dilemma
SRR12053417,Lauren Mee,2022-10-20 05:10:50 -0700,COMPLETE,6671,17403570,14266291,81.973,0,0.308749,86.51,2.18,17118428,17040708,14809210,"","",6787846,Bee,"","","","","","","","","",abdomen,RNA,03/2016,No,Mexico,PRJNA636137,Euglossa dilemma
SRR12053437,Lauren Mee,2022-10-20 05:11:35 -0700,COMPLETE,6649,13064360,9361160,71.654,0,0.355799,76.061,1.65,12785404,12692134,9724692,"","",5896176,Bee,"","","","","","","","","",abdomen,RNA,03/2017,No,Mexico,PRJNA636137,Euglossa dilemma
SRR12527940,Lauren Mee,2022-10-20 05:12:11 -0700,COMPLETE,11207,7906694,2745236,34.72,0,1.0,58.955,1.51,7693530,5955820,4535702,"","",3008608,Bee,"","","","","","","","","",whole body,DNA,08/2016,No,China,PRJNA659138,Bombus waltoni
SRR1503066,Lauren Mee,2022-10-20 05:12:44 -0700,COMPLETE,10629,13160702,7084139,53.828,0,0.357568,73.053,1.26,12168268,12168260,8889250,"","",7047650,Bee,"","","","","","","","","",whole body,RNA,09/2011,No,Italy,PRJNA252262,Epeolus variegatus
SRR1503113,Lauren Mee,2022-10-20 05:13:32 -0700,COMPLETE,7483,4745606,2974701,62.683,0,0.997218,77.472,1.43,4644948,4644898,3598512,"","",2513476,Bee,"","","","","","","","","",whole body,RNA,03/2017,No,"Florida, USA",PRJNA252310,Euglossa dilemma
SRR1945095,Lauren Mee,2022-10-20 05:13:59 -0700,COMPLETE,7324,46206076,33201794,71.856,0,0.101233,77.701,1.68,46018024,44763662,35756396,"","",21296972,Bee,"","","","","","","","","",whole body,DNA,07/2011,No,Canada,PRJNA279825,Dufourea Novaeangliae
SRR1945063,Lauren Mee,2022-10-20 10:06:12 -0700,COMPLETE,13787,2597302,1079834,41.575,0,1.0,51.628,1.12,2476328,2475040,1278470,"","",1143106,Bee,"","","","","","","","","",whole body,DNA,07/2011,No,Mexico,PRJNA279814,Eufriesea mexicana
SRR1945093,Lauren Mee,2022-10-20 10:06:27 -0700,COMPLETE,21202,3142604,2444776,77.795,0,0.828507,82.937,1.03,3058812,3054984,2536872,"","",2472532,Bee,"","","","","","","","","",whole body,DNA,07/2011,No,Canada,PRJNA279825,Dufourea Novaeangliae
SRR2001621,Lauren Mee,2022-10-20 10:06:44 -0700,COMPLETE,7739,3543220,1669804,47.127,0,1.0,62.944,1.21,3282428,2993246,2066098,"","",1705106,Bee,"","","","","","","","","",whole body,RNA,07/2011,No,Mexico,PRJNA279814,Eufriesea mexicana
SRR12053418,Lauren Mee,2022-10-21 00:34:22 -0700,COMPLETE,9814,28104558,20288392,72.189,4,0.212667,85.043,2.13,25388768,25295764,21591450,"","",10114318,Bee,"","","","","","","","","",abdomen,RNA,03/2016,No,Mexico,PRJNA636137,Euglossa viridissima
SRR12053420,Lauren Mee,2022-10-21 00:35:29 -0700,COMPLETE,9639,33817156,24608473,72.769,6,0.155673,83.399,1.9,31371034,31168612,26163088,"","",13751620,Bee,"","","","","","","","","",abdomen,RNA,03/2016,No,Mexico,PRJNA636137,Euglossa viridissima
SRR12053428,Lauren Mee,2022-10-21 00:36:46 -0700,COMPLETE,9760,28020992,20631116,73.627,4,0.169607,84.706,1.74,25887156,25680662,21927920,"","",12626718,Bee,"","","","","","","","","",abdomen,RNA,05/2016,No,Mexico,PRJNA636137,Euglossa viridissima
SRR12053429,Lauren Mee,2022-10-21 00:37:53 -0700,COMPLETE,9015,30686254,23458569,76.447,0,0.157118,86.655,1.81,28525124,28172000,24718448,"","",13639448,Bee,"","","","","","","","","",abdomen,RNA,06/2016,No,Mexico,PRJNA636137,Euglossa viridissima
SRR12053433,Lauren Mee,2022-10-21 00:39:04 -0700,COMPLETE,9518,27163650,20027182,73.728,4,0.16551,85.126,1.65,25020642,24799744,21298944,"","",12921618,Bee,"","","","","","","","","",abdomen,RNA,07/2016,No,Mexico,PRJNA636137,Euglossa viridissima
SRR12053434,Lauren Mee,2022-10-21 00:40:09 -0700,COMPLETE,7507,31373250,23569647,75.127,0,0.150151,85.778,1.75,29178540,29018978,25028800,"","",14304836,Bee,"","","","","","","","","",abdomen,RNA,08/2016,No,Mexico,PRJNA636137,Euglossa viridissima
SRR13442817,Lauren Mee,2022-10-21 00:42:22 -0700,COMPLETE,6024,3888448,2487247,63.965,0,0.932359,100.0,2.34,2799829,2799827,2799827,"","",1198778,Bee,"","","","","","","","","",whole body,RNA,04/2017,No,Australia,PRJNA687066,Exoneura
SRR13442822,Lauren Mee,2022-10-21 00:42:41 -0700,COMPLETE,4244,8676540,2077128,23.94,0,0.271501,100.0,1.87,7333813,7333813,7333813,"","",3924284,Bee,"","","","","","","","","",whole body,RNA,04/2017,No,Australia,PRJNA687066,Exoneura
SRR13442824,Lauren Mee,2022-10-21 00:43:05 -0700,COMPLETE,6050,5799433,3974385,68.531,0,0.616175,100.0,2.43,4419321,4419321,4419321,"","",1819228,Bee,"","","","","","","","","",whole body,RNA,04/2017,No,Australia,PRJNA687066,Exoneura
SRR13442825,Lauren Mee,2022-10-21 00:43:24 -0700,COMPLETE,7254,45188591,10794123,23.887,0,0.360281,100.0,4.22,12794207,12794207,12794207,"","",3034347,Bee,"","","","","","","","","",whole body,RNA,04/2017,No,Australia,PRJNA687066,Lasioglossum
SRR1943074,Lauren Mee,2022-10-21 00:45:02 -0700,COMPLETE,4219,11078948,7214221,65.116,0,0.285748,66.728,1.04,10966300,10959182,7317626,"","",7060972,Bee,"","","","","","","","","",whole body,DNA,02/2011,No,"Florida, USA",PRJNA279436,Habropoda laboriosa
SRR1943075,Lauren Mee,2022-10-21 00:45:32 -0700,COMPLETE,4121,11715718,8756505,74.742,0,0.234811,76.562,1.03,11573998,11570302,8861244,"","",8587172,Bee,"","","","","","","","","",whole body,DNA,02/2011,No,"Florida, USA",PRJNA279436,Habropoda laboriosa
SRR1943076,Lauren Mee,2022-10-21 00:46:03 -0700,COMPLETE,3931,17719980,12959032,73.132,0,0.15585,73.815,1.01,17669612,17668458,13042762,"","",12905118,Bee,"","","","","","","","","",whole body,DNA,02/2011,No,"Florida, USA",PRJNA279436,Habropoda laboriosa
SRR2001612,Lauren Mee,2022-10-21 00:46:45 -0700,COMPLETE,5452,26213034,19617735,74.84,0,0.406687,75.743,3.99,26089114,25992962,19760732,"","",4953848,Bee,"","","","","","","","","",whole body,RNA,02/2011,No,"Florida, USA",PRJNA279436,Habropoda laboriosa
SRR12053409,Lauren Mee,2022-10-21 03:27:59 -0700,COMPLETE,5917,14659132,11224119,76.567,0,0.324937,80.831,1.8,14397346,14300334,11637554,"","",6448652,Bee,"","","","","","","","","",abdomen,RNA,01/2017,No,Mexico,PRJNA636137,Euglossa viridissima
SRR12053410,Lauren Mee,2022-10-21 03:28:51 -0700,COMPLETE,6070,16413568,12254980,74.664,0,0.269563,79.036,1.64,16153202,16133324,12766840,"","",7793854,Bee,"","","","","","","","","",abdomen,RNA,01/2017,No,Mexico,PRJNA636137,Euglossa viridissima
SRR12053411,Lauren Mee,2022-10-21 03:29:35 -0700,COMPLETE,4877,9307318,8379278,90.029,0,0.418073,98.089,3.4,8794486,8632295,8626405,"","",2538812,Bee,"","","","","","","","","",abdomen,RNA,02/2017,No,Mexico,PRJNA636137,Euglossa viridissima
SRR12053412,Lauren Mee,2022-10-21 03:30:01 -0700,COMPLETE,7616,15711756,11959640,76.119,2,0.408538,81.306,2.41,15401390,15374910,12522218,"","",5191678,Bee,"","","","","","","","","",abdomen,RNA,03/2016,No,Mexico,PRJNA636137,Euglossa viridissima
SRR12053419,Lauren Mee,2022-10-21 03:30:55 -0700,COMPLETE,7626,14060742,11414055,81.177,4,0.336026,86.163,1.9,13801870,13770122,11892040,"","",6274760,Bee,"","","","","","","","","",abdomen,RNA,03/2016,No,Mexico,PRJNA636137,Euglossa viridissima
SRR12053414,Lauren Mee,2022-10-21 06:21:34 -0700,COMPLETE,7561,15768958,12102945,76.752,2,0.291886,81.271,1.76,15491256,15430244,12589818,"","",7171280,Bee,"","","","","","","","","",abdomen,RNA,02/2017,No,Mexico,PRJNA636137,Euglossa viridissima
SRR12053421,Lauren Mee,2022-10-21 06:22:15 -0700,COMPLETE,8788,15526212,12497080,80.49,4,0.304615,86.281,1.88,15168006,15116050,13087132,"","",6946390,Bee,"","","","","","","","","",abdomen,RNA,03/2016,No,Mexico,PRJNA636137,Euglossa viridissima
SRR12053422,Lauren Mee,2022-10-21 06:23:02 -0700,COMPLETE,7338,13255000,9732198,73.423,0,0.353944,78.295,1.7,12999242,12968732,10177792,"","",5977960,Bee,"","","","","","","","","",abdomen,RNA,03/2016,No,Mexico,PRJNA636137,Euglossa viridissima
SRR12053423,Lauren Mee,2022-10-21 06:23:39 -0700,COMPLETE,7848,17464362,12470534,71.406,0,0.282454,76.756,1.75,17159830,17125552,13171152,"","",7531024,Bee,"","","","","","","","","",abdomen,RNA,03/2016,No,Mexico,PRJNA636137,Euglossa viridissima
SRR12053424,Lauren Mee,2022-10-21 06:24:25 -0700,COMPLETE,8243,13908958,10170379,73.121,0,0.328655,78.026,1.66,13598220,13495538,10610148,"","",6403028,Bee,"","","","","","","","","",abdomen,RNA,04/2016,No,Mexico,PRJNA636137,Euglossa viridissima
SRR12053425,Lauren Mee,2022-10-21 06:25:08 -0700,COMPLETE,8578,17002950,11025928,64.847,0,0.308146,68.828,1.69,16677102,15978698,11478434,"","",6796820,Bee,"","","","","","","","","",abdomen,RNA,03/2017,No,Mexico,PRJNA636137,Euglossa viridissima
SRR12053426,Lauren Mee,2022-10-21 06:25:53 -0700,COMPLETE,7465,18516894,13403233,72.384,0,0.310193,77.715,2.05,18150524,17931498,14105736,"","",6879170,Bee,"","","","","","","","","",abdomen,RNA,04/2016,No,Mexico,PRJNA636137,Euglossa viridissima
SRR12053430,Lauren Mee,2022-10-21 06:26:40 -0700,COMPLETE,8224,19956940,15444348,77.388,0,0.300095,82.052,2.29,19604464,18906426,16085888,"","",7026342,Bee,"","","","","","","","","",abdomen,RNA,06/2016,No,Mexico,PRJNA636137,Euglossa viridissima
SRR12053431,Lauren Mee,2022-10-21 06:27:31 -0700,COMPLETE,8705,18374922,14594397,79.426,0,0.32966,83.801,2.38,18069158,17676896,15142154,"","",6366748,Bee,"","","","","","","","","",abdomen,RNA,06/2016,No,Mexico,PRJNA636137,Euglossa viridissima
SRR12053432,Lauren Mee,2022-10-21 06:28:20 -0700,COMPLETE,9087,16105172,11732632,72.85,2,0.325681,78.332,1.9,15744386,15721748,12332944,"","",6505190,Bee,"","","","","","","","","",abdomen,RNA,07/2016,No,Mexico,PRJNA636137,Euglossa viridissima
SRR12053435,Lauren Mee,2022-10-21 06:29:03 -0700,COMPLETE,7618,17048424,13397076,78.582,0,0.292124,82.83,1.93,16761000,16702128,13883162,"","",7200026,Bee,"","","","","","","","","",abdomen,RNA,08/2016,No,Mexico,PRJNA636137,Euglossa viridissima
SRR12053436,Lauren Mee,2022-10-21 06:29:47 -0700,COMPLETE,7373,18117816,13506185,74.546,2,0.312485,78.961,2.09,17788352,17686988,14045836,"","",6736080,Bee,"","","","","","","","","",abdomen,RNA,03/2017,No,Mexico,PRJNA636137,Euglossa viridissima
SRR5253659,Lauren Mee,2022-10-21 06:30:33 -0700,COMPLETE,4246,2639025,818165,31.003,1,1.0,46.584,1.63,1953407,1951601,909967,"","",559642,Bee,"","","","","","","","","",whole body,RNA,02/2017,No,Switzerland,PRJNA374528,Halictus sexcinctus
SRR3948521,Lauren Mee,2022-10-21 06:31:12 -0700,COMPLETE,5530,2765292,1244626,45.009,0,1.0,79.49,1.91,2312094,2294868,1837884,"","",963466,Bee,"","","","","","","","","",whole body,RNA,07/2013,No,Panama,PRJNA331103,Megalopta genalis
SRR3948528,Lauren Mee,2022-10-21 06:31:35 -0700,COMPLETE,4879,5031868,1417390,28.168,0,1.0,81.489,3.09,3594312,3591610,2928976,"","",946456,Bee,"","","","","","","","","",whole body,RNA,07/2014,No,Panama,PRJNA331103,Megalopta genalis
SRR3948531,Lauren Mee,2022-10-21 06:31:56 -0700,COMPLETE,5202,5729332,2313588,40.381,0,1.0,78.847,3.15,3965958,3964018,3127034,"","",992156,Bee,"","","","","","","","","",whole body,RNA,07/2014,No,Panama,PRJNA331103,Megalopta genalis
SRR3948533,Lauren Mee,2022-10-21 06:32:17 -0700,COMPLETE,4934,4069862,1636862,40.219,0,1.0,69.497,1.93,2892354,2890676,2010092,"","",1044164,Bee,"","","","","","","","","",whole body,RNA,07/2014,No,Panama,PRJNA331103,Megalopta genalis
SRR3948536,Lauren Mee,2022-10-21 06:32:36 -0700,COMPLETE,4139,5267630,2258686,42.879,0,1.0,85.009,3.05,4059224,4046668,3450704,"","",1131098,Bee,"","","","","","","","","",whole body,RNA,07/2013,No,Panama,PRJNA331103,Megalopta genalis
SRR3948537,Lauren Mee,2022-10-21 06:32:57 -0700,COMPLETE,7220,4492412,1431962,31.875,0,1.0,77.581,2.56,3392446,3390218,2631886,"","",1030004,Bee,"","","","","","","","","",whole body,RNA,07/2014,No,Panama,PRJNA331103,Megalopta genalis
SRR3948540,Lauren Mee,2022-10-21 06:33:16 -0700,COMPLETE,6722,3437526,922592,26.839,0,1.0,61.661,1.57,2087102,2082722,1286922,"","",820230,Bee,"","","","","","","","","",whole body,RNA,05/2014,No,Panama,PRJNA331103,Megalopta genalis
SRR3948542,Lauren Mee,2022-10-21 06:33:33 -0700,COMPLETE,3893,5082660,1085152,21.35,0,1.0,68.359,3.14,3639268,3634720,2487778,"","",791454,Bee,"","","","","","","","","",whole body,RNA,05/2014,No,Panama,PRJNA331103,Megalopta genalis
SRR3948544,Lauren Mee,2022-10-21 06:33:52 -0700,COMPLETE,6842,3792312,1152756,30.397,0,1.0,73.376,1.98,2733826,2729330,2005968,"","",1011356,Bee,"","","","","","","","","",whole body,RNA,04/2014,No,Panama,PRJNA331103,Megalopta genalis
SRR3948548,Lauren Mee,2022-10-21 06:34:10 -0700,COMPLETE,4983,4829996,1834282,37.977,0,1.0,71.089,2.99,3799414,3793362,2700978,"","",902926,Bee,"","","","","","","","","",whole body,RNA,07/2014,No,Panama,PRJNA331103,Megalopta genalis
